1.70000 0.00000 0.03389 -0.12775 -2.15393 0.04290 0.75745 -0.71497
1.80000 0.00000 0.87125 2.39825 -0.62973 1.62484 -0.07191 -0.36399
1.10000 0.00000 0.28014 0.59118 0.63664 0.97231 0.97119 -0.87044
0.90000 0.00000 0.54068 1.33448 0.32719 0.10953 0.33959 -0.15041
0.40000 1.00000 0.05092 -0.22123 0.96726 -1.14157 0.54664 0.80553
0.10000 1.00000 0.05654 -0.23154 0.40086 -1.26257 -0.35262 -0.73755
1.50000 1.00000 0.15071 -0.01455 -0.16826 1.59804 0.75631 -0.65325
0.60000 0.00000 0.27390 -2.03046 -1.56979 0.67342 -0.09999 -0.49033
2.30000 1.00000 0.80816 -0.14539 -0.49322 -1.29188 -0.30306 -1.43328
0.10000 0.00000 0.04847 -0.52701 1.27862 0.53696 -1.33362 2.16440
0.90000 1.00000 0.65198 0.88568 -0.12585 0.85959 -0.00352 -0.15718
1.70000 1.00000 0.57151 -0.09567 0.86955 1.57879 0.02507 -0.70460
2.70000 1.00000 1.34020 1.26741 0.34601 0.96352 0.33191 0.36833
1.20000 0.00000 0.29957 2.11208 1.52086 -0.40219 -0.87654 0.52022
0.80000 1.00000 0.27762 -0.90320 0.40847 0.04474 -0.13242 -1.24155
0.40000 1.00000 0.06066 -0.30949 -0.22141 -1.32322 0.71880 -0.86741
0.50000 1.00000 0.37451 0.33232 1.06592 -1.49315 1.99360 0.82215
2.40000 0.00000 0.58670 1.18457 -0.04676 0.56713 -0.84488 1.26370
0.50000 1.00000 0.09358 -1.07726 -0.92520 -0.08665 -0.26075 -0.02984
2.60000 0.00000 0.16300 1.59993 -1.72760 -0.52093 0.36403 -1.08173
1.60000 0.00000 0.16170 -0.04221 -0.75004 0.13832 -1.37867 -1.29208
0.10000 1.00000 0.01258 -1.21808 -1.67322 0.17235 -1.11029 -0.42680
0.70000 1.00000 0.13363 -0.08454 -1.16191 -0.66601 -2.57580 -1.33049
0.90000 0.00000 0.34892 1.60625 0.86814 0.13496 -0.04976 0.20211
1.70000 1.00000 0.42934 0.05200 0.12825 0.14700 -0.21426 0.08859
0.90000 0.00000 0.09003 0.30406 -1.10150 1.24386 -1.03260 -1.16835
0.80000 1.00000 0.49541 0.35988 0.06658 0.70505 -0.69225 -0.56728
0.60000 1.00000 0.07911 1.35988 -0.09564 -0.93606 -0.51315 -0.71945
0.40000 1.00000 0.10392 -0.48387 0.11022 0.98868 -0.93650 0.62626
0.70000 1.00000 0.04458 2.21071 1.20212 -1.32191 -0.21873 2.13140
0.30000 1.00000 0.05515 0.51860 -0.39995 -0.27285 1.49510 -1.37459
0.80000 1.00000 0.23437 0.48792 -0.03220 0.12458 1.09104 -1.22325
2.60000 1.00000 0.94546 0.27458 -0.26494 1.05516 -1.05866 -0.31523
0.40000 1.00000 0.32746 -0.62343 -0.22963 -0.84420 0.10739 1.69456
0.40000 0.00000 0.16350 -1.58424 -0.29464 0.20635 -0.47701 -1.66932
0.50000 0.00000 0.02491 0.91868 0.54079 0.04488 -1.21063 0.03541
0.40000 1.00000 0.14154 1.09946 -0.80400 -2.33060 -0.07203 1.41559
0.60000 0.00000 0.00827 0.04665 0.71264 -0.61718 0.05467 -0.20028
0.50000 0.00000 0.10845 1.62647 0.57626 0.26960 -0.74759 0.42454
2.00000 0.00000 0.14807 0.55911 1.48549 -0.93036 -1.22291 -1.36303
0.40000 1.00000 0.12000 -0.98988 -0.22909 0.18503 -0.16817 0.25399
0.40000 0.00000 0.15804 -0.00834 1.52945 1.34346 -2.22084 0.05030
0.10000 0.00000 0.07986 -0.86722 0.12641 0.62147 -0.95351 0.14747
0.90000 0.00000 0.31695 -0.00421 0.32835 0.96384 -1.04643 0.59269
1.70000 0.00000 0.23741 -0.07164 0.09279 1.06291 0.23961 -1.35065
