0.40000 1.00000 0.05481 -1.12684
1.90000 1.00000 1.28241 1.53308
0.10000 1.00000 0.02706 -0.59959
0.50000 1.00000 0.37620 -0.30367
0.80000 1.00000 0.13944 1.11986
0.10000 1.00000 0.05957 -1.14156
0.10000 1.00000 0.02141 -1.42762
0.50000 0.00000 0.19724 0.41777
0.60000 0.00000 0.44707 -1.56248
1.10000 1.00000 0.98901 0.20707
0.80000 1.00000 0.36086 -0.27163
0.20000 1.00000 0.15732 -0.15030
0.20000 1.00000 0.15958 1.40919
0.10000 1.00000 0.01066 0.92681
0.30000 1.00000 0.19562 0.18954
0.40000 1.00000 0.11593 -2.15766
0.70000 1.00000 0.31879 -0.71813
1.30000 1.00000 0.71487 1.55787
0.60000 1.00000 0.47836 -0.55111
1.00000 0.00000 0.09679 0.21333
