1.80000 0.00000 1.09086 1.34452 -1.50015
0.40000 0.00000 0.38494 1.72042 -2.24136
0.10000 1.00000 0.04190 -1.30377 0.07385
0.50000 0.00000 0.03696 0.34215 0.21776
0.30000 0.00000 0.29538 0.55553 -0.42629
1.40000 0.00000 0.21868 0.53425 -0.30008
2.80000 0.00000 0.80303 1.92170 0.28216
1.50000 1.00000 0.23299 0.37587 -0.12242
0.70000 1.00000 0.65231 0.12333 0.18897
0.60000 1.00000 0.22110 -0.57841 0.00506
1.90000 0.00000 0.10607 1.32524 0.18123
0.30000 0.00000 0.01210 -1.06410 -0.39842
0.60000 1.00000 0.04187 -0.97384 0.73492
1.40000 0.00000 1.06098 0.38626 -1.61085
0.80000 1.00000 0.29903 0.69408 0.44583
1.30000 1.00000 0.11947 -0.15800 -1.03917
0.80000 1.00000 0.41631 -1.13439 0.37544
0.20000 1.00000 0.17524 -2.25393 0.41419
0.40000 1.00000 0.32966 -0.16270 0.22963
0.20000 1.00000 0.12824 0.11487 -0.43288
1.20000 1.00000 1.14531 -0.58352 1.06892
2.70000 0.00000 0.05236 0.09298 -2.07191
0.60000 1.00000 0.51103 0.82827 0.36538
0.30000 0.00000 0.22908 -0.67324 -0.47535
0.90000 0.00000 0.08275 0.56867 -0.98283
1.10000 1.00000 1.02480 -0.36385 -0.42373
0.20000 0.00000 0.10902 0.80176 -0.68920
0.40000 1.00000 0.18061 -2.14154 0.86221
2.00000 1.00000 0.12842 0.81306 -0.82460
0.30000 1.00000 0.22881 -0.61864 0.07034
0.80000 1.00000 0.18496 -0.28219 -0.33774
0.60000 1.00000 0.23976 0.02309 1.48483
0.30000 0.00000 0.20397 -0.95362 -1.37886
1.30000 1.00000 0.12356 -2.37891 -1.18453
1.00000 1.00000 0.24040 -0.45175 -0.77268
0.70000 0.00000 0.48644 -0.35151 0.61122
1.70000 0.00000 0.81486 0.03512 -1.22300
1.10000 0.00000 0.01546 -0.07111 -1.37265
0.90000 1.00000 0.07159 -0.85887 1.13543
0.30000 1.00000 0.11800 -0.83236 -0.42293
0.20000 0.00000 0.06615 0.38222 0.51077
1.30000 1.00000 0.12487 0.37386 -0.48134
0.30000 0.00000 0.28116 1.88144 0.82422
0.70000 0.00000 0.10556 -1.00081 -0.80931
0.80000 0.00000 0.22959 0.53876 -0.08699
1.00000 1.00000 0.97184 -0.19111 -0.43436
0.20000 1.00000 0.02957 0.53202 2.83942
0.80000 0.00000 0.40705 2.09545 0.17933
0.60000 0.00000 0.18795 1.16117 0.00627
1.10000 0.00000 0.71196 -0.15975 -0.27833
