Series Id:           LNS14000000Q

Seasonally Adjusted
Series title:        (Seas) Unemployment Rate
Labor force status:  Unemployment rate
Type of data:        Percent or rate
Age:                 16 years and over


Series id,Year,Period,Value,
LNS14000000Q,1959,Q01,5.8
LNS14000000Q,1959,Q02,5.1
LNS14000000Q,1959,Q03,5.3
LNS14000000Q,1959,Q04,5.6
LNS14000000Q,1960,Q01,5.2
LNS14000000Q,1960,Q02,5.2
LNS14000000Q,1960,Q03,5.6
LNS14000000Q,1960,Q04,6.3
LNS14000000Q,1961,Q01,6.8
LNS14000000Q,1961,Q02,7.0
LNS14000000Q,1961,Q03,6.8
LNS14000000Q,1961,Q04,6.2
LNS14000000Q,1962,Q01,5.6
LNS14000000Q,1962,Q02,5.5
LNS14000000Q,1962,Q03,5.6
LNS14000000Q,1962,Q04,5.5
LNS14000000Q,1963,Q01,5.8
LNS14000000Q,1963,Q02,5.7
LNS14000000Q,1963,Q03,5.5
LNS14000000Q,1963,Q04,5.6
LNS14000000Q,1964,Q01,5.5
LNS14000000Q,1964,Q02,5.2
LNS14000000Q,1964,Q03,5.0
LNS14000000Q,1964,Q04,5.0
LNS14000000Q,1965,Q01,4.9
LNS14000000Q,1965,Q02,4.7
LNS14000000Q,1965,Q03,4.4
LNS14000000Q,1965,Q04,4.1
LNS14000000Q,1966,Q01,3.9
LNS14000000Q,1966,Q02,3.8
LNS14000000Q,1966,Q03,3.8
LNS14000000Q,1966,Q04,3.7
LNS14000000Q,1967,Q01,3.8
LNS14000000Q,1967,Q02,3.8
LNS14000000Q,1967,Q03,3.8
LNS14000000Q,1967,Q04,3.9
LNS14000000Q,1968,Q01,3.7
LNS14000000Q,1968,Q02,3.5
LNS14000000Q,1968,Q03,3.5
LNS14000000Q,1968,Q04,3.4
LNS14000000Q,1969,Q01,3.4
LNS14000000Q,1969,Q02,3.4
LNS14000000Q,1969,Q03,3.6
LNS14000000Q,1969,Q04,3.6
LNS14000000Q,1970,Q01,4.2
LNS14000000Q,1970,Q02,4.8
LNS14000000Q,1970,Q03,5.2
LNS14000000Q,1970,Q04,5.8
LNS14000000Q,1971,Q01,5.9
LNS14000000Q,1971,Q02,5.9
LNS14000000Q,1971,Q03,6.0
LNS14000000Q,1971,Q04,6.0
LNS14000000Q,1972,Q01,5.8
LNS14000000Q,1972,Q02,5.7
LNS14000000Q,1972,Q03,5.6
LNS14000000Q,1972,Q04,5.3
LNS14000000Q,1973,Q01,5.0
LNS14000000Q,1973,Q02,4.9
LNS14000000Q,1973,Q03,4.8
LNS14000000Q,1973,Q04,4.8
LNS14000000Q,1974,Q01,5.1
LNS14000000Q,1974,Q02,5.2
LNS14000000Q,1974,Q03,5.6
LNS14000000Q,1974,Q04,6.6
LNS14000000Q,1975,Q01,8.2
