          	      SIZE SUBS  STAFF PRESTIGE POLICY CONSTIT SERVICE BILLS103 BILLS104
Appropriations   	58   13    109 	 1	  0      0       0	 9	  6	 
Budget   		42   0     39 	 1	  0      0       0	 101	  23
Rules   		13   2     25 	 1	  0      0       0	 54	  44
Ways_and_Means  	39   5     23 	 1	  0      0       0	 542	  355
Banking   		51   5     61    0        1      0       0	 101	  125
Economic_Educ_Oppor    	43   5     69    0        1      0       0	 158	  131
Commerce   		49   4     79    0        1      0       0	 196	  271
International_Relations 44   3     68    0        1      0       0	 40	  63
Government_Reform   	51   7     99    0        1      0       0	 72	  149
Judiciary   		35   5     56    0        1      0       0	 168	  253
Agriculture   		49   5     46    0        0      1       0	 60	  81
National_Security   	55   7     48    0        0      1       0	 75	  89
Resources   		44   5     58    0        0      1       0	 98	  142
TransInfrastructure   	61   6     74    0        0      1       0	 69 	  155
Science   		50   4     58    0        0      1       0	 25	  27
Small_Business   	43   4     29    0        0      1       0	 9	  8
Veterans_Affairs   	33   3     36    0        0      1       0	 41	  28
House_Oversight   	12   0     24    0        0      0       1	 233	  68
Stds_of_Conduct   	10   0     9     0        0      0       1	 0	  1
Intelligence   		16   2     24    0        0      0       1	 2	  4
