STATE	EXECUTIONS   	INCOME	PERPOVERTY  PERBLACK    VC100k96 SOUTH <9thGRADE 9thTO12th HSOREQUIV SOMECOLL AADEGREE BACHELORS GRAD/PROF
Texas           37    	34453	16.7		12.2	644	1      1492112   1924831   3153187   2777973   598956   530849     673250
Virginia         9	41534	12.5		20.0	351	1       461475    669851   1297714    969191   244488   676710     363602
Missouri         6	35802	10.6		11.2	591	0       391097    578440   1251550    785555   170146   420521     204294
Arkansas         4	26954	18.4		16.1	524	1 	234071    328690    571252    323016    62246   143038      67144
Alabama          3	31468	14.8		25.9	565	1 	362434    597455    875703    575123   146228   281466     142177
Arizona          2	32552	18.8		3.5	632	0 	224662    368279    708340    724228   173801   325575     161560
Illinois         2	40873	11.6		15.3	886	0 	786815    1203134  2531465   1817238   490791  1101193     552145
South_Carolina   2	34861	13.1		30.1	997	1 	303694    479916    776053    466145   152671   267365     118811
Colorado         1	42562	9.4		4.3	405	0 	124477    270560    654510    630445   161331   402917     190168
Florida          1	31900	14.3		15.4	1051	1 	883820    1706839  3045682   2054574   682005  1133053     567453
Indiana          1	37421	8.2		8.2	537	0 	310403    673362   1530741    775605   212379   360087     224057
Kentucky         1	33305	16.4		7.2	321	0 	456107    467956    881795    476362   108409   209055     129994
Louisiana        1	32108	18.4		32.1	929	1 	391630    534570    951832    586477    94409   288154     143624
Maryland         1	45844	9.3		27.4	931	0 	257518    514788   1044976    744604   182465   532883     342012
Nebraska         1	34743	10.0		4.0	435	0 	 81690    124792    388540    272981    80956   141231      59008
Oklahoma         1	29709	15.2		7.7	597	0 	201228    375155    706003    539511   113434   253635     119774
Oregon           1	36777	11.7		1.8	463	0 	122513    283409    613983    561176   139269   267161     130403
